Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
28.9,2024-04-22 12:18:00,NFO,30-MAY-2024,29.0,28.9,29.0,91200,Options,Call,NESIND,2600.0,400
28.9,2024-04-22 12:19:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:20:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:21:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:22:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:23:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:24:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:25:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:26:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.9,2024-04-22 12:27:00,NFO,30-MAY-2024,28.9,28.9,28.9,91200,Options,Call,NESIND,2600.0,0
28.95,2024-04-22 12:28:00,NFO,30-MAY-2024,29.45,28.95,29.45,91600,Options,Call,NESIND,2600.0,800
29.05,2024-04-22 12:29:00,NFO,30-MAY-2024,29.05,28.95,28.95,91600,Options,Call,NESIND,2600.0,400
29.05,2024-04-22 12:30:00,NFO,30-MAY-2024,29.05,29.05,29.05,91600,Options,Call,NESIND,2600.0,0
29.05,2024-04-22 12:31:00,NFO,30-MAY-2024,29.05,29.05,29.05,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:32:00,NFO,30-MAY-2024,29.05,29.0,29.05,91600,Options,Call,NESIND,2600.0,800
29.0,2024-04-22 12:33:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:34:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:35:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:36:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:37:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:38:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:39:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:40:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:41:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:42:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:43:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:44:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:46:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:47:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:48:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:49:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:50:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:51:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:53:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:54:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 12:55:00,NFO,30-MAY-2024,29.0,29.0,29.0,91600,Options,Call,NESIND,2600.0,0
28.5,2024-04-22 12:56:00,NFO,30-MAY-2024,28.5,28.5,28.5,91600,Options,Call,NESIND,2600.0,0
28.5,2024-04-22 12:57:00,NFO,30-MAY-2024,28.5,28.5,28.5,91600,Options,Call,NESIND,2600.0,400
28.5,2024-04-22 12:58:00,NFO,30-MAY-2024,28.5,28.5,28.5,91600,Options,Call,NESIND,2600.0,0
28.5,2024-04-22 12:59:00,NFO,30-MAY-2024,28.5,28.5,28.5,91600,Options,Call,NESIND,2600.0,0
28.5,2024-04-22 13:00:00,NFO,30-MAY-2024,28.5,28.5,28.5,91600,Options,Call,NESIND,2600.0,0
