name,avg_return,avg_volatility,len,interval,period
EIHOTEL,0.4173,2.5459,246,1d,1y
EIMCOELECO,0.6264,3.6932,245,1d,1y
EKC,0.142,3.1274,246,1d,1y
ELDEHSG,0.1944,2.6582,245,1d,1y
ELECON,0.3144,2.8297,246,1d,1y
ELECTCAST,0.6995,3.0952,246,1d,1y
ELECTHERM,0.9529,2.8377,245,1d,1y
ELGIEQUIP,0.1296,2.5461,246,1d,1y
ELGIRUBCO,0.1578,3.5795,246,1d,1y
ELIN,0.0386,2.5994,245,1d,1y
EMAMILTD,0.0941,1.7058,246,1d,1y
EMAMIPAP,-0.0105,2.3862,230,1d,1y
EMAMIREAL,0.2028,3.7517,245,1d,1y
EMIL,0.4167,2.9587,246,1d,1y
EMKAY,0.362,3.3951,245,1d,1y
EMMBI,0.0849,2.9615,246,1d,1y
EMSLIMITED,0.3014,3.3837,136,1d,1y
EMUDHRA,0.4424,3.1144,246,1d,1y
ENDURANCE,0.1621,1.8577,245,1d,1y
ENERGYDEV,0.1331,3.4792,245,1d,1y
ENGINERSIN,0.4362,3.3138,246,1d,1y
ENIL,0.2933,3.3429,246,1d,1y
ENTERO,0.0503,4.0313,37,1d,1y
EPACK,-0.2457,3.0478,50,1d,1y
EPIGRAL,0.1781,2.4478,149,1d,1y
EPL,0.0639,1.9269,246,1d,1y
EQUIPPP,-0.0366,2.7819,245,1d,1y
EQUITASBNK,0.1584,2.023,246,1d,1y
ERIS,0.1429,1.5855,246,1d,1y
EROSMEDIA,-0.0828,3.6362,246,1d,1y
ESABINDIA,0.1664,1.7274,245,1d,1y
ESAFSFB,-0.1211,2.8388,102,1d,1y
ESCORTS,0.1766,1.6419,246,1d,1y
ESSARSHPNG,0.4592,3.9747,246,1d,1y
ESSENTIA,0.0032,3.5865,245,1d,1y
ESTER,-0.0406,2.5929,246,1d,1y
ETHOSLTD,0.3509,2.6114,246,1d,1y
EUROTEXIND,0.0362,3.3221,245,1d,1y
EVEREADY,0.053,1.9482,245,1d,1y
EVERESTIND,0.1796,2.5162,245,1d,1y
EXCEL,0.0911,7.3138,246,1d,1y
EXCELINDUS,0.0129,2.1609,246,1d,1y
EXICOM,0.3027,6.9601,25,1d,1y
EXIDEIND,0.312,1.9225,246,1d,1y
EXPLEOSOL,-0.0114,2.3071,245,1d,1y
EXXARO,-0.0508,2.4848,246,1d,1y
FACT,0.3048,3.6373,246,1d,1y
FAIRCHEMOR,0.0702,2.4841,245,1d,1y
FAZE3Q,0.059,2.9163,246,1d,1y
FCL,0.1945,2.9086,246,1d,1y
FCONSUMER,0.0233,4.5333,246,1d,1y
FCSSOFT,0.2688,4.4654,246,1d,1y
FDC,0.2131,1.9092,246,1d,1y
FEDERALBNK,0.0803,1.5682,246,1d,1y
FEDFINA,-0.1456,1.6603,90,1d,1y
FEL,0.0283,3.5976,245,1d,1y
FELDVR,-0.0547,2.9538,245,1d,1y
FIBERWEB,0.0292,3.1377,245,1d,1y
FIEMIND,0.1452,2.1872,246,1d,1y
