name,avg_return,avg_volatility,len,interval,period
CIEINDIA,0.0013,0.1063,2569,1m,7d
CIGNITITEC,-0.0002,0.1497,2130,1m,7d
CINELINE,-0.0017,0.3332,799,1m,7d
CINEVISTA,0.0137,0.6164,1095,1m,7d
CIPLA,-0.0023,0.0718,2622,1m,7d
CLEAN,0.0009,0.0982,2601,1m,7d
CLEDUCATE,0.003,0.3726,867,1m,7d
CLSEL,-0.0024,0.1756,1980,1m,7d
CMSINFO,-0.0011,0.1142,2619,1m,7d
COALINDIA,0.0011,0.0783,2622,1m,7d
COASTCORP,-0.0002,0.3693,1010,1m,7d
COCHINSHIP,0.0037,0.1979,2622,1m,7d
COFFEEDAY,0.0051,0.2371,2603,1m,7d
COFORGE,0.0005,0.094,2621,1m,7d
COLPAL,-0.0016,0.0813,2620,1m,7d
COMPUSOFT,0.0107,0.4536,1599,1m,7d
COMSYN,0.0133,0.9272,341,1m,7d
CONCOR,0.0014,0.1068,2621,1m,7d
CONCORDBIO,0.002,0.1626,2330,1m,7d
CONFIPET,-0.0004,0.1534,2576,1m,7d
CONSOFINVT,-0.0017,0.351,1125,1m,7d
CONTROLPR,0.0004,0.1853,2073,1m,7d
CORALFINAC,0.006,0.8235,289,1m,7d
CORDSCABLE,-0.0059,0.7628,872,1m,7d
COROMANDEL,0.0008,0.0807,2605,1m,7d
COSMOFIRST,0.0012,0.1597,1621,1m,7d
COUNCODOS,-0.0038,0.8192,744,1m,7d
CRAFTSMAN,0.0012,0.1179,2431,1m,7d
CREATIVE,0.002,0.3588,1386,1m,7d
CREATIVEYE,0.0065,2.7518,181,1m,7d
CREDITACC,0.0019,0.161,2603,1m,7d
CREST,-0.0043,0.3403,751,1m,7d
CRISIL,-0.0009,0.0961,2364,1m,7d
CROMPTON,0.0024,0.0893,2621,1m,7d
CROWN,-0.0337,0.9567,42,1m,7d
CSBBANK,0.0007,0.1472,2397,1m,7d
CSLFINANCE,-0.001,0.3469,957,1m,7d
CTE,0.0048,0.8827,711,1m,7d
CUB,0.003,0.1082,2622,1m,7d
CUBEXTUB,0.0051,1.4149,503,1m,7d
CUMMINSIND,0.0009,0.0944,2622,1m,7d
CUPID,-0.0932,4.6024,2407,1m,7d
CYBERMEDIA,0.0112,0.6405,40,1m,7d
CYBERTECH,0.0019,0.221,1595,1m,7d
CYIENT,0.0015,0.1283,2622,1m,7d
CYIENTDLM,0.0,0.0989,2487,1m,7d
DABUR,-0.0022,0.0587,2621,1m,7d
DALBHARAT,-0.0014,0.0933,2609,1m,7d
DALMIASUG,0.0005,0.1597,1834,1m,7d
DAMODARIND,0.0141,0.5538,797,1m,7d
DANGEE,-0.0072,0.5459,1741,1m,7d
DATAMATICS,0.0037,0.1663,2284,1m,7d
DATAPATTNS,0.003,0.1541,2619,1m,7d
DAVANGERE,0.0026,0.3667,1382,1m,7d
DBCORP,0.001,0.5471,1868,1m,7d
DBL,-0.0006,0.1767,2517,1m,7d
DBOL,0.0028,0.194,1620,1m,7d
DBREALTY,0.0027,0.199,2617,1m,7d
DBSTOCKBRO,0.0113,0.9297,919,1m,7d
DCAL,-0.001,0.1878,2289,1m,7d
DCBBANK,-0.0018,0.094,2616,1m,7d
DCI,0.0352,0.6933,678,1m,7d
